,treatment,direction,veracity,full_path
0,treatment1,pro_d,true,https://raw.githubusercontent.com/jbisbee1/illusory_headlines/main/treatment1/true/pro_d/Dem_True_MSNBC_1_NoFC.png
1,treatment1,pro_d,true,https://raw.githubusercontent.com/jbisbee1/illusory_headlines/main/treatment1/true/pro_d/Dem_True_DemNow_2_NoFC.png
2,treatment1,pro_d,true,https://raw.githubusercontent.com/jbisbee1/illusory_headlines/main/treatment1/true/pro_d/Dem_True_DemNow_3_NoFC.png
3,treatment1,pro_d,true,https://raw.githubusercontent.com/jbisbee1/illusory_headlines/main/treatment1/true/pro_d/Dem_True_MSNBC_3_NoFC.png
4,treatment1,pro_d,true,https://raw.githubusercontent.com/jbisbee1/illusory_headlines/main/treatment1/true/pro_d/Dem_True_MSNBC_2_NoFC.png
5,treatment1,pro_d,true,https://raw.githubusercontent.com/jbisbee1/illusory_headlines/main/treatment1/true/pro_d/Dem_True_DemNow_1_NoFC.png
6,treatment1,pro_r,true,https://raw.githubusercontent.com/jbisbee1/illusory_headlines/main/treatment1/true/pro_r/Rep_True_Fox_1_NoFC.png
7,treatment1,pro_r,true,https://raw.githubusercontent.com/jbisbee1/illusory_headlines/main/treatment1/true/pro_r/Rep_True_Breit_3_NoFC.png
8,treatment1,pro_r,true,https://raw.githubusercontent.com/jbisbee1/illusory_headlines/main/treatment1/true/pro_r/Rep_True_Breit_2_NoFC.png
9,treatment1,pro_r,true,https://raw.githubusercontent.com/jbisbee1/illusory_headlines/main/treatment1/true/pro_r/Rep_True_Fox_3_NoFC.png
10,treatment1,pro_r,true,https://raw.githubusercontent.com/jbisbee1/illusory_headlines/main/treatment1/true/pro_r/Rep_True_Fox_2_NoFC.png
11,treatment1,pro_r,true,https://raw.githubusercontent.com/jbisbee1/illusory_headlines/main/treatment1/true/pro_r/Rep_True_Breit_1_NoFC.png
12,treatment1,pro_d,false,https://raw.githubusercontent.com/jbisbee1/illusory_headlines/main/treatment1/false/pro_d/Dem_False_MSNBC_1_NoFC.png
13,treatment1,pro_d,false,https://raw.githubusercontent.com/jbisbee1/illusory_headlines/main/treatment1/false/pro_d/Dem_False_DemNow_1_NoFC.png
14,treatment1,pro_d,false,https://raw.githubusercontent.com/jbisbee1/illusory_headlines/main/treatment1/false/pro_d/Dem_False_DemNow_3_NoFC.png
15,treatment1,pro_d,false,https://raw.githubusercontent.com/jbisbee1/illusory_headlines/main/treatment1/false/pro_d/Dem_False_DemNow_2_NoFC.png
16,treatment1,pro_d,false,https://raw.githubusercontent.com/jbisbee1/illusory_headlines/main/treatment1/false/pro_d/Dem_False_MSNBC_3_NoFC.png
17,treatment1,pro_d,false,https://raw.githubusercontent.com/jbisbee1/illusory_headlines/main/treatment1/false/pro_d/Dem_False_MSNBC_2_NoFC.png
18,treatment1,pro_r,false,https://raw.githubusercontent.com/jbisbee1/illusory_headlines/main/treatment1/false/pro_r/Rep_False_Breit_3_NoFC.png
19,treatment1,pro_r,false,https://raw.githubusercontent.com/jbisbee1/illusory_headlines/main/treatment1/false/pro_r/Rep_False_Breit_2_NoFC.png
20,treatment1,pro_r,false,https://raw.githubusercontent.com/jbisbee1/illusory_headlines/main/treatment1/false/pro_r/Rep_False_Fox_3_NoFC.png
21,treatment1,pro_r,false,https://raw.githubusercontent.com/jbisbee1/illusory_headlines/main/treatment1/false/pro_r/Rep_False_Fox_2_NoFC.png
22,treatment1,pro_r,false,https://raw.githubusercontent.com/jbisbee1/illusory_headlines/main/treatment1/false/pro_r/Rep_False_Breit_1_NoFC.png
23,treatment1,pro_r,false,https://raw.githubusercontent.com/jbisbee1/illusory_headlines/main/treatment1/false/pro_r/Rep_False_Fox_1_NoFC.png
24,treatment2,pro_d,true,https://raw.githubusercontent.com/jbisbee1/illusory_headlines/main/treatment2/true/pro_d/Dem_True_MSNBC_1_NoFC.png
25,treatment2,pro_d,true,https://raw.githubusercontent.com/jbisbee1/illusory_headlines/main/treatment2/true/pro_d/Dem_True_DemNow_2_NoFC.png
26,treatment2,pro_d,true,https://raw.githubusercontent.com/jbisbee1/illusory_headlines/main/treatment2/true/pro_d/Dem_True_DemNow_3_NoFC.png
27,treatment2,pro_d,true,https://raw.githubusercontent.com/jbisbee1/illusory_headlines/main/treatment2/true/pro_d/Dem_True_MSNBC_3_NoFC.png
28,treatment2,pro_d,true,https://raw.githubusercontent.com/jbisbee1/illusory_headlines/main/treatment2/true/pro_d/Dem_True_MSNBC_2_NoFC.png
29,treatment2,pro_d,true,https://raw.githubusercontent.com/jbisbee1/illusory_headlines/main/treatment2/true/pro_d/Dem_True_DemNow_1_NoFC.png
30,treatment2,pro_r,true,https://raw.githubusercontent.com/jbisbee1/illusory_headlines/main/treatment2/true/pro_r/Rep_True_Fox_1_NoFC.png
31,treatment2,pro_r,true,https://raw.githubusercontent.com/jbisbee1/illusory_headlines/main/treatment2/true/pro_r/Rep_True_Breit_3_NoFC.png
32,treatment2,pro_r,true,https://raw.githubusercontent.com/jbisbee1/illusory_headlines/main/treatment2/true/pro_r/Rep_True_Breit_2_NoFC.png
33,treatment2,pro_r,true,https://raw.githubusercontent.com/jbisbee1/illusory_headlines/main/treatment2/true/pro_r/Rep_True_Fox_3_NoFC.png
34,treatment2,pro_r,true,https://raw.githubusercontent.com/jbisbee1/illusory_headlines/main/treatment2/true/pro_r/Rep_True_Fox_2_NoFC.png
35,treatment2,pro_r,true,https://raw.githubusercontent.com/jbisbee1/illusory_headlines/main/treatment2/true/pro_r/Rep_True_Breit_1_NoFC.png
36,treatment2,pro_d,false,https://raw.githubusercontent.com/jbisbee1/illusory_headlines/main/treatment2/false/pro_d/Dem_False_DemNow_3_FC.png
37,treatment2,pro_d,false,https://raw.githubusercontent.com/jbisbee1/illusory_headlines/main/treatment2/false/pro_d/Dem_False_DemNow_1_FC.png
38,treatment2,pro_d,false,https://raw.githubusercontent.com/jbisbee1/illusory_headlines/main/treatment2/false/pro_d/Dem_False_MSNBC_2_FC.png
39,treatment2,pro_d,false,https://raw.githubusercontent.com/jbisbee1/illusory_headlines/main/treatment2/false/pro_d/Dem_False_MSNBC_1_FC.png
40,treatment2,pro_d,false,https://raw.githubusercontent.com/jbisbee1/illusory_headlines/main/treatment2/false/pro_d/Dem_False_DemNow_2_FC.png
41,treatment2,pro_d,false,https://raw.githubusercontent.com/jbisbee1/illusory_headlines/main/treatment2/false/pro_d/Dem_False_MSNBC_3_FC.png
42,treatment2,pro_r,false,https://raw.githubusercontent.com/jbisbee1/illusory_headlines/main/treatment2/false/pro_r/Rep_False_Breit_2_FC.png
43,treatment2,pro_r,false,https://raw.githubusercontent.com/jbisbee1/illusory_headlines/main/treatment2/false/pro_r/Rep_False_Fox_2_FC.png
44,treatment2,pro_r,false,https://raw.githubusercontent.com/jbisbee1/illusory_headlines/main/treatment2/false/pro_r/Rep_False_Fox_3_FC.png
45,treatment2,pro_r,false,https://raw.githubusercontent.com/jbisbee1/illusory_headlines/main/treatment2/false/pro_r/Rep_False_Breit_3_FC.png
46,treatment2,pro_r,false,https://raw.githubusercontent.com/jbisbee1/illusory_headlines/main/treatment2/false/pro_r/Rep_False_Fox_1_FC.png
47,treatment2,pro_r,false,https://raw.githubusercontent.com/jbisbee1/illusory_headlines/main/treatment2/false/pro_r/Rep_False_Breit_1_FC.png
48,control,pro_d,true,https://raw.githubusercontent.com/jbisbee1/illusory_headlines/main/control/true/pro_d/TrueProD_HP_MTGandLB.png
