,wave,treatment,direction,veracity,full_path
0,wave1,treatment1,pro_d,true,https://raw.githubusercontent.com/jbisbee1/illusory_headlines/main/wave1/treatment1/true/pro_d/Dem_True_MSNBC_1_NoFC.png
1,wave1,treatment1,pro_d,true,https://raw.githubusercontent.com/jbisbee1/illusory_headlines/main/wave1/treatment1/true/pro_d/Dem_True_DemNow_2_NoFC.png
2,wave1,treatment1,pro_d,true,https://raw.githubusercontent.com/jbisbee1/illusory_headlines/main/wave1/treatment1/true/pro_d/Dem_True_MSNBC_2_NoFC.png
3,wave1,treatment1,pro_d,true,https://raw.githubusercontent.com/jbisbee1/illusory_headlines/main/wave1/treatment1/true/pro_d/Dem_True_DemNow_1_NoFC.png
4,wave1,treatment1,pro_r,true,https://raw.githubusercontent.com/jbisbee1/illusory_headlines/main/wave1/treatment1/true/pro_r/Rep_True_Fox_1_NoFC.png
5,wave1,treatment1,pro_r,true,https://raw.githubusercontent.com/jbisbee1/illusory_headlines/main/wave1/treatment1/true/pro_r/Rep_True_Breit_2_NoFC.png
6,wave1,treatment1,pro_r,true,https://raw.githubusercontent.com/jbisbee1/illusory_headlines/main/wave1/treatment1/true/pro_r/Rep_True_Fox_2_NoFC.png
7,wave1,treatment1,pro_r,true,https://raw.githubusercontent.com/jbisbee1/illusory_headlines/main/wave1/treatment1/true/pro_r/Rep_True_Breit_1_NoFC.png
8,wave1,treatment1,pro_d,false,https://raw.githubusercontent.com/jbisbee1/illusory_headlines/main/wave1/treatment1/false/pro_d/Dem_False_MSNBC_1_NoFC.png
9,wave1,treatment1,pro_d,false,https://raw.githubusercontent.com/jbisbee1/illusory_headlines/main/wave1/treatment1/false/pro_d/Dem_False_DemNow_1_NoFC.png
10,wave1,treatment1,pro_d,false,https://raw.githubusercontent.com/jbisbee1/illusory_headlines/main/wave1/treatment1/false/pro_d/Dem_False_DemNow_2_NoFC.png
11,wave1,treatment1,pro_d,false,https://raw.githubusercontent.com/jbisbee1/illusory_headlines/main/wave1/treatment1/false/pro_d/Dem_False_MSNBC_2_NoFC.png
12,wave1,treatment1,pro_r,false,https://raw.githubusercontent.com/jbisbee1/illusory_headlines/main/wave1/treatment1/false/pro_r/Rep_False_Breit_2_NoFC.png
13,wave1,treatment1,pro_r,false,https://raw.githubusercontent.com/jbisbee1/illusory_headlines/main/wave1/treatment1/false/pro_r/Rep_False_Fox_2_NoFC.png
14,wave1,treatment1,pro_r,false,https://raw.githubusercontent.com/jbisbee1/illusory_headlines/main/wave1/treatment1/false/pro_r/Rep_False_Breit_1_NoFC.png
15,wave1,treatment1,pro_r,false,https://raw.githubusercontent.com/jbisbee1/illusory_headlines/main/wave1/treatment1/false/pro_r/Rep_False_Fox_1_NoFC.png
16,wave1,treatment2,pro_d,true,https://raw.githubusercontent.com/jbisbee1/illusory_headlines/main/wave1/treatment2/true/pro_d/Dem_True_MSNBC_1_NoFC.png
17,wave1,treatment2,pro_d,true,https://raw.githubusercontent.com/jbisbee1/illusory_headlines/main/wave1/treatment2/true/pro_d/Dem_True_DemNow_2_NoFC.png
18,wave1,treatment2,pro_d,true,https://raw.githubusercontent.com/jbisbee1/illusory_headlines/main/wave1/treatment2/true/pro_d/Dem_True_MSNBC_2_NoFC.png
19,wave1,treatment2,pro_d,true,https://raw.githubusercontent.com/jbisbee1/illusory_headlines/main/wave1/treatment2/true/pro_d/Dem_True_DemNow_1_NoFC.png
20,wave1,treatment2,pro_r,true,https://raw.githubusercontent.com/jbisbee1/illusory_headlines/main/wave1/treatment2/true/pro_r/Rep_True_Fox_1_NoFC.png
21,wave1,treatment2,pro_r,true,https://raw.githubusercontent.com/jbisbee1/illusory_headlines/main/wave1/treatment2/true/pro_r/Rep_True_Breit_2_NoFC.png
22,wave1,treatment2,pro_r,true,https://raw.githubusercontent.com/jbisbee1/illusory_headlines/main/wave1/treatment2/true/pro_r/Rep_True_Fox_2_NoFC.png
23,wave1,treatment2,pro_r,true,https://raw.githubusercontent.com/jbisbee1/illusory_headlines/main/wave1/treatment2/true/pro_r/Rep_True_Breit_1_NoFC.png
24,wave1,treatment2,pro_d,false,https://raw.githubusercontent.com/jbisbee1/illusory_headlines/main/wave1/treatment2/false/pro_d/Dem_False_DemNow_1_FC.png
25,wave1,treatment2,pro_d,false,https://raw.githubusercontent.com/jbisbee1/illusory_headlines/main/wave1/treatment2/false/pro_d/Dem_False_MSNBC_2_FC.png
26,wave1,treatment2,pro_d,false,https://raw.githubusercontent.com/jbisbee1/illusory_headlines/main/wave1/treatment2/false/pro_d/Dem_False_MSNBC_1_FC.png
27,wave1,treatment2,pro_d,false,https://raw.githubusercontent.com/jbisbee1/illusory_headlines/main/wave1/treatment2/false/pro_d/Dem_False_DemNow_2_FC.png
28,wave1,treatment2,pro_r,false,https://raw.githubusercontent.com/jbisbee1/illusory_headlines/main/wave1/treatment2/false/pro_r/Rep_False_Breit_2_FC.png
29,wave1,treatment2,pro_r,false,https://raw.githubusercontent.com/jbisbee1/illusory_headlines/main/wave1/treatment2/false/pro_r/Rep_False_Fox_2_FC.png
30,wave1,treatment2,pro_r,false,https://raw.githubusercontent.com/jbisbee1/illusory_headlines/main/wave1/treatment2/false/pro_r/Rep_False_Fox_1_FC.png
31,wave1,treatment2,pro_r,false,https://raw.githubusercontent.com/jbisbee1/illusory_headlines/main/wave1/treatment2/false/pro_r/Rep_False_Breit_1_FC.png
